2020-05-01 10:02:53.270 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-05-01 10:02:53.281 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-05-01 10:02:53.287 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-05-01 10:02:53.287 [restartedMain] INFO  v.j.springboot.web.system.application.Application - Started Application in 0.976 seconds (JVM running for 395.87)
2020-05-01 10:02:53.289 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-05-01 10:03:03.729 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-01 10:03:03.730 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-01 10:03:03.734 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-05-01 10:03:48.280 [Thread-18] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-01 10:03:48.903 [restartedMain] INFO  v.j.springboot.web.system.application.Application - Starting Application on June10Pro with PID 8156 (C:\Users\Yue16\Desktop\springboot-web\target\classes started by Yue16 in C:\Users\Yue16\Desktop\springboot-web)
2020-05-01 10:03:48.904 [restartedMain] INFO  v.j.springboot.web.system.application.Application - No active profile set, falling back to default profiles: default
2020-05-01 10:03:49.364 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-05-01 10:03:49.365 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-05-01 10:03:49.365 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-01 10:03:49.365 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
